ts_event,symbol,best_level_ofi,integrated_ofi,multi_level_ofi
2024-10-21 12:16:44.802578420+00:00,AAPL,0,504.08715570120796,1270
2024-10-21 12:16:47.612239006+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:16:47.666876898+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:16:47.666890051+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:16:47.926797838+00:00,AAPL,-200,-469.9016749357068,-2178
2024-10-21 12:16:47.926810269+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:16:48.065603630+00:00,AAPL,0,-523.8948557552955,-1270
2024-10-21 12:16:48.065661214+00:00,AAPL,0,533.3730192838169,1370
2024-10-21 12:16:48.122967378+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:16:48.228366485+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:16:48.283159712+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:16:48.283173265+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:16:49.563776410+00:00,AAPL,-200,-569.6301111209328,-1599
2024-10-21 12:16:49.564755651+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:16:49.635124163+00:00,AAPL,-29,-882.9260650023411,-3399
2024-10-21 12:16:49.635136826+00:00,AAPL,29,863.1183649482537,3399
2024-10-21 12:16:49.635541646+00:00,AAPL,0,-881.2702713684624,-3370
2024-10-21 12:16:49.635636984+00:00,AAPL,0,844.1173115127,3270
2024-10-21 12:16:49.669495875+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:16:49.706243840+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:16:49.706441749+00:00,AAPL,-100,-874.6647701295446,-3399
2024-10-21 12:16:49.706453582+00:00,AAPL,100,854.8570700754572,3399
2024-10-21 12:16:49.707051448+00:00,AAPL,0,-863.9250115667875,-3270
2024-10-21 12:16:49.709446277+00:00,AAPL,-200,-21.323116467586477,-200
2024-10-21 12:16:50.277262708+00:00,AAPL,0,-14.587070173495945,-27
2024-10-21 12:16:50.277350058+00:00,AAPL,0,-25.781846749455546,-27
2024-10-21 12:16:50.277381197+00:00,AAPL,0,285.879354965344,978
2024-10-21 12:16:50.981459165+00:00,AAPL,200,-289.5845684324365,-751
2024-10-21 12:16:51.768772781+00:00,AAPL,141,481.41581088500885,2319
2024-10-21 12:16:54.799759269+00:00,AAPL,0,-9.903850027043735,0
